Prefecture_name,Prefecture_code,Date,Infections
鳥取県,31,2020/1/16,0
鳥取県,31,2020/1/17,0
鳥取県,31,2020/1/18,0
鳥取県,31,2020/1/19,0
鳥取県,31,2020/1/20,0
鳥取県,31,2020/1/21,0
鳥取県,31,2020/1/22,0
鳥取県,31,2020/1/23,0
鳥取県,31,2020/1/24,0
鳥取県,31,2020/1/25,0
鳥取県,31,2020/1/26,0
鳥取県,31,2020/1/27,0
鳥取県,31,2020/1/28,0
鳥取県,31,2020/1/29,0
鳥取県,31,2020/1/30,0
鳥取県,31,2020/1/31,0
鳥取県,31,2020/2/1,0
鳥取県,31,2020/2/2,0
鳥取県,31,2020/2/3,0
鳥取県,31,2020/2/4,0
鳥取県,31,2020/2/5,0
鳥取県,31,2020/2/6,0
鳥取県,31,2020/2/7,0
鳥取県,31,2020/2/8,0
鳥取県,31,2020/2/9,0
鳥取県,31,2020/2/10,0
鳥取県,31,2020/2/11,0
鳥取県,31,2020/2/12,0
鳥取県,31,2020/2/13,0
鳥取県,31,2020/2/14,0
鳥取県,31,2020/2/15,0
鳥取県,31,2020/2/16,0
鳥取県,31,2020/2/17,0
鳥取県,31,2020/2/18,0
鳥取県,31,2020/2/19,0
鳥取県,31,2020/2/20,0
鳥取県,31,2020/2/21,0
鳥取県,31,2020/2/22,0
鳥取県,31,2020/2/23,0
鳥取県,31,2020/2/24,0
鳥取県,31,2020/2/25,0
鳥取県,31,2020/2/26,0
